Total: 4706, Correct: 3828, Accuracy:0.813430
Details:
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\100_1_0_20170117195420803.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170110224804208.jpg.chip.jpg', 'white', 'others', '>=80', 98.97016286849976)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170110224843637.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170110225257257.jpg.chip.jpg', 'white', 'white', '>=80', 99.89493489265442)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170110225330874.jpg.chip.jpg', 'white', 'white', '>=80', 99.50876832008362)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170117145849076.jpg.chip.jpg', 'white', 'white', '>=80', 99.99891519546509)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_0_0_20170117165940524.jpg.chip.jpg', 'white', 'white', '>=80', 99.85962510108948)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109200852145.jpg.chip.jpg', 'white', 'white', '>=80', 99.97465014457703)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109200926532.jpg.chip.jpg', 'white', 'white', '>=80', 99.99995231628418)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109201553786.jpg.chip.jpg', 'white', 'white', '>=80', 99.97062087059021)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109201611941.jpg.chip.jpg', 'white', 'indian', '>=80', 99.94722008705139)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109203240213.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109203424756.jpg.chip.jpg', 'white', 'white', '>=80', 99.99884366989136)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109204431716.jpg.chip.jpg', 'white', 'white', '>=80', 99.99687671661377)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109205045850.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109205130906.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170109213526011.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\12_1_0_20170117181943783.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170104003724576.jpg.chip.jpg', 'white', 'white', '>=80', 99.99991655349731)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170104011725761.jpg.chip.jpg', 'white', 'white', '>=80', 99.99727010726929)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170104012531409.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170110220458081.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170110225059227.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_0_0_20170110225438328.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109201622416.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109201711197.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109203635557.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109204048554.jpg.chip.jpg', 'white', 'white', '>=80', 99.73328113555908)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109204128684.jpg.chip.jpg', 'white', 'white', '>=80', 99.87357258796692)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109205106776.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\13_1_0_20170109214635943.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170102234323550.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170102234854353.jpg.chip.jpg', 'white', 'white', '>=80', 99.98301267623901)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170103200611317.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170110224441502.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170110224528797.jpg.chip.jpg', 'white', 'white', '>=80', 99.99992847442627)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170110232124117.jpg.chip.jpg', 'white', 'white', '>=80', 99.79711174964905)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170110232541244.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170110232633429.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170116201237010.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_0_0_20170116211955846.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170104005158239.jpg.chip.jpg', 'white', 'white', '>=80', 99.99969005584717)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109203330417.jpg.chip.jpg', 'white', 'indian', '<80', 57.92562961578369)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109204158115.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109204304326.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109204846649.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109212749213.jpg.chip.jpg', 'white', 'white', '>=80', 99.12531971931458)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109214345916.jpg.chip.jpg', 'white', 'asian', '>=80', 99.99970197677612)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\14_1_0_20170109214349442.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170103200828591.jpg.chip.jpg', 'white', 'white', '>=80', 99.9998927116394)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110224324459.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110225440579.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110225617650.jpg.chip.jpg', 'white', 'asian', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110231550866.jpg.chip.jpg', 'white', 'white', '>=80', 91.97328090667725)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110232610061.jpg.chip.jpg', 'white', 'white', '>=80', 99.99943971633911)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110232640357.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170110232717464.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170116201123807.jpg.chip.jpg', 'white', 'white', '>=80', 99.99922513961792)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_0_0_20170117134820249.jpg.chip.jpg', 'white', 'white', '>=80', 99.98273849487305)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170104013418578.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109203414090.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109203912357.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109204203014.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109204314585.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109213448729.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109213555287.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109213613605.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109214058590.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\15_1_0_20170109214133273.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170104230001113.jpg.chip.jpg', 'white', 'asian', '<80', 54.977381229400635)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110225310813.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231553413.jpg.chip.jpg', 'white', 'white', '>=80', 91.41814112663269)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231645188.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231646278.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231648820.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231756634.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231759619.jpg.chip.jpg', 'white', 'white', '>=80', 99.99990463256836)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231841292.jpg.chip.jpg', 'white', 'white', '>=80', 89.97090458869934)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231910518.jpg.chip.jpg', 'white', 'asian', '<80', 49.40875172615051)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231914222.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231916206.jpg.chip.jpg', 'white', 'white', '>=80', 97.20062017440796)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110231944071.jpg.chip.jpg', 'white', 'others', '>=80', 98.38544726371765)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232038257.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232208589.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232302818.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232315216.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232332618.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232605131.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232611516.jpg.chip.jpg', 'white', 'others', '>=80', 99.99309778213501)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232613101.jpg.chip.jpg', 'white', 'white', '>=80', 99.7984528541565)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170110232817061.jpg.chip.jpg', 'white', 'white', '>=80', 99.98825788497925)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170117134538670.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_0_0_20170120133327900.jpg.chip.jpg', 'white', 'white', '>=80', 99.83672499656677)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170102234728107.jpg.chip.jpg', 'white', 'asian', '>=80', 96.94190621376038)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170103163010615.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170103201213287.jpg.chip.jpg', 'white', 'white', '>=80', 99.99951124191284)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170103201602647.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170104012420681.jpg.chip.jpg', 'white', 'white', '>=80', 99.85021352767944)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109201603478.jpg.chip.jpg', 'white', 'white', '>=80', 99.84129667282104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109205435776.jpg.chip.jpg', 'white', 'white', '>=80', 99.99991655349731)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109212413425.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109212959831.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109213604149.jpg.chip.jpg', 'white', 'white', '>=80', 99.97219443321228)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109213948727.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109213954271.jpg.chip.jpg', 'white', 'white', '>=80', 99.96486902236938)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109214519974.jpg.chip.jpg', 'white', 'white', '>=80', 99.99985694885254)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170109214605824.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170113210605072.jpg.chip.jpg', 'white', 'black', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\16_1_0_20170117193255060.jpg.chip.jpg', 'white', 'white', '>=80', 99.89001750946045)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_0_0_20170110231233724.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_0_0_20170110231752726.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_0_0_20170117091447979.jpg.chip.jpg', 'white', 'white', '>=80', 98.21573495864868)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_0_0_20170117193043124.jpg.chip.jpg', 'white', 'others', '>=80', 98.22976589202881)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170103175424111.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170104005759343.jpg.chip.jpg', 'white', 'white', '>=80', 99.99107122421265)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109205309078.jpg.chip.jpg', 'white', 'white', '>=80', 99.99853372573853)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109213621558.jpg.chip.jpg', 'white', 'white', '>=80', 99.9875545501709)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109213944067.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109214021426.jpg.chip.jpg', 'white', 'white', '>=80', 99.99997615814209)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109214200825.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\17_1_0_20170109214546339.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170110231723682.jpg.chip.jpg', 'white', 'white', '>=80', 99.588143825531)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170110232121048.jpg.chip.jpg', 'white', 'white', '<80', 59.71847176551819)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170110232621309.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170117135529944.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170117140129888.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_0_0_20170117140132816.jpg.chip.jpg', 'white', 'white', '>=80', 99.99891519546509)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170103201359471.jpg.chip.jpg', 'white', 'white', '>=80', 99.96329545974731)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109212647587.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109212814819.jpg.chip.jpg', 'white', 'white', '>=80', 99.99946355819702)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109212830216.jpg.chip.jpg', 'white', 'others', '>=80', 98.37284088134766)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109212906609.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109213013086.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109213102446.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109213451167.jpg.chip.jpg', 'white', 'white', '>=80', 99.99998807907104)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109213856511.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214042490.jpg.chip.jpg', 'white', 'others', '>=80', 98.62641096115112)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214106546.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214216731.jpg.chip.jpg', 'white', 'others', '>=80', 95.8935022354126)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214336149.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214557098.jpg.chip.jpg', 'white', 'white', '>=80', 99.99995231628418)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170109214646809.jpg.chip.jpg', 'white', 'others', '<80', 63.67660164833069)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170117140440920.jpg.chip.jpg', 'white', 'white', '>=80', 99.99947547912598)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\18_1_0_20170117140751537.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\19_0_0_20170102233014401.jpg.chip.jpg', 'white', 'white', '>=80', 99.54144954681396)
('C:\\workspace\\race_detect\\UTKFace\\test\\0\\19_0_0_20170116212106328.jpg.chip.jpg', 'white', 'white', '>=80', 100.0)
